Название карт;Ссылка на продукт;Банк;Изображение карты
Кредитная карта «Хочу-карта»;https://minfin.com.ua/company/aval/;Райффайзен Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61b223a1937f5.png
Кредитная карта «Платинум Премиум +»;https://minfin.com.ua/company/ukrstroyinvestbank/;Укрстройинвестбанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fc6313fa40a6.png
Кредитная карта «Сaméléon»;https://minfin.com.ua/company/alfa-bank/;Альфа-Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61151d20c36b8.png
Кредитная карта «Sportbank»;https://minfin.com.ua/company/sportbank/;sportbank;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/607fe91cae6a8.png
Кредитная карта «soloМандри»;https://minfin.com.ua/company/pumb/;ПУМБ;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dca79c882d.png
Кредитная карта «Большая пятерка»;https://minfin.com.ua/company/taskombank/;Таскомбанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png
Кредитная карта «Зелена»;https://minfin.com.ua/company/a-bank/;А-Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f898884ee4dc.png
Кредитная карта «Monobank»;https://minfin.com.ua/company/monobank/;monobank;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcb23447aa.png
Кредитная карта «Эко-кредитка»;https://minfin.com.ua/company/ukrgasbank/;Укргазбанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e32bf9a865b7.png
Кредитная карта «Benefit New»;https://minfin.com.ua/company/marfinbank/;МТБ Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fe1bc2dbfe04.png
Кредитная карта «Универсальная»;https://minfin.com.ua/company/privatbank/;Приватбанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png
Кредитная карта «Коко Кард»;https://minfin.com.ua/company/forward-bank/;Форвард Банк (Forward Bank);https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5d8cabd309589.png
Кредитная карта «Neocard»;https://minfin.com.ua/company/neobank/;Neobank;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/619ba9e66ebb5.png
Кредитная карта «More»;https://minfin.com.ua/company/oschadbank/;Ощадбанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60891d8608287.png
Кредитная карта «Найкраща картка»;https://minfin.com.ua/company/accordbank/;Аккордбанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f32877135f03.png
Кредитная карта «Наполеон»;https://minfin.com.ua/company/credit-agricole/;Креди Агриколь Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e908da07a487.png
Кредитная карта «Кредобра»;https://minfin.com.ua/company/kredobank/;Кредобанк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5db2af7351a50.png
Кредитная карта «ОТР Tickets Travel Card»;https://minfin.com.ua/company/otp-bank/;OTP Bank;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60891d4ee0daf.png
Кредитная карта «Platinum+»;https://minfin.com.ua/company/cib/;Коммерческий Индустриальный Банк;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/60ade1e377ef8.png
Кредитная карта «ПростоМани»;https://minfin.com.ua/company/globus/;Глобус;https://minfin.com.ua/https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcac82662b.png
